HIP_ID,RAdeg,DEdeg,Vmag
32349,101.2885411,-16.71314306,-1.44
30438,95.98787763,-52.69571799,-0.62
69673,213.918114,+19.18726997,-0.05
71683,219.9204103,-60.83514707,-0.01
91262,279.2341083,+38.78299311,0.03
24608,79.17206517,+45.99902927,0.08
24436,78.63446353,-8.20163919,0.18
37279,114.8272419,+05.22750767,0.4
7588,24.42813204,-57.23666007,0.45
27989,88.79287161,+07.40703634,0.45
68702,210.956019,-60.3729784,0.61
97649,297.6945086,+08.86738491,0.76
60718,186.6497559,-63.09905586,0.77
21421,68.98000195,+16.50976164,0.87
65474,201.2983523,-11.16124491,0.98
80763,247.351948,-26.43194608,1.06
37826,116.3306826,+28.02631031,1.16
113368,344.4117732,-29.62183701,1.17
62434,191.9304954,-59.68873246,1.25
102098,310.3579727,+45.28033423,1.25
71681,219.9141283,-60.83947139,1.35
49669,152.0935808,+11.96719513,1.36
33579,104.6564445,-28.97208931,1.5
36850,113.650019,+31.88863645,1.58
61084,187.791372,-57.11256922,1.59
85927,263.4021937,-37.10374835,1.62
25336,81.28278416,+06.34973451,1.64
25428,81.57290804,+28.60787346,1.65
45238,138.3010033,-69.71747245,1.67
26311,84.05338572,-1.20191725,1.69
109268,332.0578184,-46.96061593,1.73
26727,85.18968672,-1.94257841,1.74
39953,122.3831473,-47.33661177,1.75
62956,193.5068041,+55.95984301,1.76
15863,51.08061889,+49.86124281,1.79
90185,276.0431097,-34.3843146,1.79
54061,165.9326537,+61.75111888,1.81
34444,107.0978585,-26.39320776,1.83
67301,206.8856088,+49.31330288,1.85
41037,125.628603,-59.50953829,1.86
86228,264.3296907,-42.99782155,1.86
28360,89.88237261,+44.94743492,1.9
82273,252.1661074,-69.02763503,1.91
31681,99.42792641,+16.39941482,1.93
42913,131.1758221,-54.70856797,1.93
100751,306.4118735,-56.73488071,1.94
11767,37.94614689,+89.26413805,1.97
30324,95.6749475,-17.95591658,1.98
46390,141.8968826,-8.65868335,1.99
9884,31.79285757,+23.46277743,2.01
50583,154.9923405,+19.84186032,2.01
3419,10.89678452,-17.9866841,2.04
92855,283.8163196,-26.29659428,2.05
68933,211.6721861,-36.36869575,2.06
677,2.09653333,+29.09082805,2.07
5447,17.43248991,+35.62083048,2.07
27366,86.93911641,-9.66960186,2.07
72607,222.6766475,+74.15547596,2.07
112122,340.6663953,-46.88456594,2.07
86032,263.7333532,+12.56057584,2.08
14576,47.04220716,+40.95565120,2.09
9640,30.97466283,+42.32984832,2.1
57632,177.2661598,+14.57233687,2.14
4427,14.17708808,+60.71674966,2.15
61932,190.3800208,-48.95988553,2.2
